trip_id,0521,0529,0536,0539,0801,0806,0811,0816,0821,0826,0901,0906,2241G,2242F,2246F,2351F,2397F,2720F,2726F,2793F,2794F,3308F,3360F,3480,5200F,5205,5261,5264F,5265F,5266F,5267,5311,5312,5352,5407F,5413F,5414F,5415F,5416F,5451F,5459F,5460F,5461F,5462F,5468,5714,5762,6201F,6202,6204,6258,6260F,6419F
113480460238202001,,,,,,08:25:00,,08:26:38,,08:28:05,,08:23:35,08:30:00,,,,,,,08:36:00,,08:34:00,,08:14:00,,,08:17:02,08:15:00,08:18:43,,08:20:03,,,08:22:00,,,,,,08:06:00,08:06:41,08:08:00,08:09:11,08:10:00,08:11:09,,,,,,08:31:39,,
113480461238202001,,,,,,09:02:00,,09:03:58,,09:05:42,,09:00:35,09:08:00,,,,,,,09:14:00,,09:12:00,,08:51:00,,,08:54:02,08:52:00,08:55:43,,08:57:03,,,08:59:00,,,,,,08:43:00,08:43:41,08:45:00,08:46:11,08:47:00,08:48:09,,,,,,09:09:39,,
113480462238202001,,,,,,07:21:00,,07:22:58,,07:24:42,,07:19:35,07:27:00,,,,,,,07:33:00,,07:31:00,,07:10:00,,,07:13:02,07:11:00,07:14:43,,07:16:03,,,07:18:00,,,,,,07:02:00,07:02:41,07:04:00,07:05:11,07:06:00,07:07:09,,,,,,07:28:39,,
113480463238202001,,,,,,08:12:00,,08:13:58,,08:15:42,,08:10:35,08:18:00,,,,,,,08:24:00,,08:22:00,,08:01:00,,,08:04:02,08:02:00,08:05:43,,08:07:03,,,08:09:00,,,,,,07:53:00,07:53:41,07:55:00,07:56:11,07:57:00,07:58:09,,,,,,08:19:39,,
113480464238202001,,,,,,07:33:00,,07:34:58,,07:36:42,,07:31:35,07:39:00,,,,,,,07:45:00,,07:43:00,,07:22:00,,,07:25:02,07:23:00,07:26:43,,07:28:03,,,07:30:00,,,,,,07:14:00,07:14:41,07:16:00,07:17:11,07:18:00,07:19:09,,,,,,07:40:39,,
113480465238202001,,,,,,08:50:00,,08:51:38,,08:53:05,,08:48:35,08:55:00,,,,,,,09:01:00,,08:59:00,,08:39:00,,,08:42:02,08:40:00,08:43:43,,08:45:03,,,08:47:00,,,,,,08:31:00,08:31:41,08:33:00,08:34:11,08:35:00,08:36:09,,,,,,08:56:39,,
113480466238202001,,,,,,07:15:00,,07:16:58,,07:18:42,,07:13:35,07:21:00,,,,,,,07:26:00,,07:25:00,,07:04:00,,,07:07:02,07:05:00,07:08:43,,07:10:03,,,07:12:00,,,,,,06:56:00,06:56:41,06:58:00,06:59:11,07:00:00,07:01:09,,,,,,07:22:39,,
113480467238202001,,,,,,08:37:00,,08:38:38,,08:40:05,,08:35:35,08:42:00,,,,,,,08:48:00,,08:46:00,,08:26:00,,,08:29:02,08:27:00,08:30:43,,08:32:03,,,08:34:00,,,,,,08:18:00,08:18:41,08:20:00,08:21:11,08:22:00,08:23:09,,,,,,08:43:39,,
113480468238202001,,,,,,07:58:00,,07:59:58,,08:01:42,,07:56:35,08:04:00,,,,,,,08:10:00,,08:08:00,,07:47:00,,,07:50:02,07:48:00,07:51:43,,07:53:03,,,07:55:00,,,,,,07:39:00,07:39:41,07:41:00,07:42:11,07:43:00,07:44:09,,,,,,08:05:39,,
113480469238202001,,,,,,06:24:00,,06:25:38,,06:27:05,,06:23:03,06:29:00,,,,,,,06:33:00,,06:32:00,,06:15:00,,,06:17:45,06:16:00,06:19:11,,06:20:20,,,06:22:00,,,,,,06:08:00,06:08:41,06:10:00,06:11:11,06:12:00,06:12:52,,,,,,06:30:14,,
