trip_id,1382,1585,1586,1587,1639,1640B,2913,7831,7832
113643796238752500,17:36:00,,,,17:31:02,17:32:44,17:30:00,,17:26:00
113643797238752500,18:06:00,,,,18:01:02,18:02:44,18:00:00,,17:56:00
113643798238752500,19:31:00,,,,19:26:02,19:27:44,19:25:00,,19:21:00
113643799238752500,16:36:00,,,,16:31:02,16:32:44,16:30:00,,16:26:00
113643800238752500,15:21:00,,,,15:16:02,15:17:44,15:15:00,,15:11:00
113643801238752500,16:21:00,,,,16:16:02,16:17:44,16:15:00,,16:11:00
113643802238752500,17:31:00,,,,17:26:02,17:27:44,17:25:00,,17:21:00
113643803238752500,19:41:00,,,,19:36:02,19:37:44,19:35:00,,19:31:00
113643804238752500,16:26:00,,,,16:21:02,16:22:44,16:20:00,,16:16:00
113643805238752500,19:06:00,,,,19:01:02,19:02:44,19:00:00,,18:56:00
113643806238752500,19:16:00,,,,19:11:02,19:12:44,19:10:00,,19:06:00
113643807238752500,19:01:00,,,,18:56:02,18:57:44,18:55:00,,18:51:00
113643808238752500,18:51:00,,,,18:46:02,18:47:44,18:45:00,,18:41:00
113643809238752500,14:46:00,,,,14:41:02,14:42:44,14:40:00,,14:36:00
113643810238752500,19:56:00,,,,19:51:02,19:52:44,19:50:00,,19:46:00
113643811238752500,19:11:00,,,,19:06:02,19:07:44,19:05:00,,19:01:00
113643812238752500,15:56:00,,,,15:51:02,15:52:44,15:50:00,,15:46:00
113643813238752500,16:01:00,,,,15:56:02,15:57:44,15:55:00,,15:51:00
113643814238752500,14:56:00,,,,14:51:02,14:52:44,14:50:00,,14:46:00
113643815238752500,16:41:00,,,,16:36:02,16:37:44,16:35:00,,16:31:00
113643816238752500,15:26:00,,,,15:21:02,15:22:44,15:20:00,,15:16:00
113643817238752500,15:16:00,,,,15:11:02,15:12:44,15:10:00,,15:06:00
113643818238752500,15:01:00,,,,14:56:02,14:57:44,14:55:00,,14:51:00
113643819238752500,14:51:00,,,,14:46:02,14:47:44,14:45:00,,14:41:00
113643820238752500,20:01:00,,,,19:56:02,19:57:44,19:55:00,,19:51:00
113643821238752500,18:26:00,,,,18:21:02,18:22:44,18:20:00,,18:16:00
113643822238752500,18:11:00,,,,18:06:02,18:07:44,18:05:00,,18:01:00
113643823238752500,16:06:00,,,,16:01:02,16:02:44,16:00:00,,15:56:00
113643824238752500,17:16:00,,,,17:11:02,17:12:44,17:10:00,,17:06:00
113643825238752500,15:51:00,,,,15:46:02,15:47:44,15:45:00,,15:41:00
113643826238752500,15:31:00,,,,15:26:02,15:27:44,15:25:00,,15:21:00
