trip_id,1136,1156,1900,1901,1904,1988,2283,2287,2289,3313,6017,6018,6019,6020,6021,6022B,6023,6024,6053,6054B,6055,6056,6058,6059,6060,6061,6062,6190,6191,6435,6436,9023B,9291,9296,9996
113354316237585601,15:59:00,,15:37:00,15:40:25,15:39:11,,16:01:00,,16:02:00,,15:45:27,15:47:10,15:48:36,15:49:36,15:53:28,15:55:56,15:55:00,15:57:04,,,,,,,,,,,15:52:00,15:42:00,,15:43:43,15:51:17,,
113354317237585601,15:17:00,,14:55:00,14:58:25,14:57:11,,15:19:00,,15:20:00,,15:03:27,15:05:10,15:06:36,15:07:36,15:11:28,15:13:56,15:13:00,15:15:04,,,,,,,,,,,15:10:00,15:00:00,,15:01:43,15:09:17,,
113354318237585601,14:57:00,,14:35:00,14:38:25,14:37:11,,14:59:00,,15:00:00,,14:43:27,14:45:10,14:46:36,14:47:36,14:51:28,14:53:56,14:53:00,14:55:04,,,,,,,,,,,14:50:00,14:40:00,,14:41:43,14:49:17,,
113354319237585601,14:17:00,,13:55:00,13:58:25,13:57:11,,14:19:00,,14:20:00,,14:03:27,14:05:10,14:06:36,14:07:36,14:11:28,14:13:56,14:13:00,14:15:04,,,,,,,,,,,14:10:00,14:00:00,,14:01:43,14:09:17,,
113354320237585601,14:37:00,,14:15:00,14:18:25,14:17:11,,14:39:00,,14:40:00,,14:23:27,14:25:10,14:26:36,14:27:36,14:31:28,14:33:56,14:33:00,14:35:04,,,,,,,,,,,14:30:00,14:20:00,,14:21:43,14:29:17,,
113354321237585601,15:38:00,,15:16:00,15:19:25,15:18:11,,15:40:00,,15:41:00,,15:24:27,15:26:10,15:27:36,15:28:36,15:32:28,15:34:56,15:34:00,15:36:04,,,,,,,,,,,15:31:00,15:21:00,,15:22:43,15:30:17,,
113354322237585601,18:20:00,,17:57:00,18:00:25,17:59:11,,18:22:00,,18:23:00,,18:05:48,18:07:41,18:09:15,18:10:21,18:14:28,18:16:56,18:16:00,18:18:04,,,,,,,,,,,18:13:00,18:02:00,,18:03:53,18:12:12,,
113354323237585601,17:40:00,,17:17:00,17:20:25,17:19:11,,17:42:00,,17:43:00,,17:25:48,17:27:41,17:29:15,17:30:21,17:34:28,17:36:56,17:36:00,17:38:04,,,,,,,,,,,17:33:00,17:22:00,,17:23:53,17:32:12,,
113354324237585601,12:16:00,,11:55:00,11:58:25,11:57:11,,12:18:00,,12:19:00,,12:03:07,12:04:39,12:05:56,12:06:50,12:10:28,12:12:56,12:12:00,12:14:04,,,,,,,,,,,12:09:00,12:00:00,,12:01:33,12:08:21,,
113354325237585601,11:36:00,,11:16:00,11:18:44,11:17:44,,11:38:00,,11:39:00,,11:23:07,11:24:39,11:25:56,11:26:50,11:30:28,11:32:56,11:32:00,11:34:04,,,,,,,,,,,11:29:00,11:20:00,,11:21:33,11:28:21,,
