trip_id,1016,1024,1051,1052,1082,1083,1089,1090,1349,1356,1827,1837,1838,1839,2305,2308,2315,2316,2317,2325,2326,2327,2352,2358,2359,2360,2370,2376,2868,2870,3001B,3003,3005,3007,3008,3014,3058,3059,3061,3063
113100312236763001,15:23:29,15:25:00,,,,15:27:00,15:06:39,,15:21:56,,15:02:00,15:02:31,,,,,,,,15:17:07,,,,15:03:00,15:03:55,15:05:00,15:20:00,15:13:00,,15:16:00,15:00:00,15:05:27,15:07:08,15:09:06,15:10:00,15:08:02,,,,
113100313236763001,15:35:11,15:37:00,,,,15:39:00,15:17:39,,15:33:20,,15:13:00,15:13:31,,,,,,,,15:28:07,,,,15:14:00,15:14:55,15:16:00,15:31:00,15:24:00,,15:27:00,15:11:00,15:16:27,15:18:08,15:20:06,15:21:00,15:19:02,,,,
113100314236763001,14:54:29,14:56:00,,,,14:58:00,14:38:19,,14:52:56,,14:34:00,14:34:31,,,,,,,,14:48:07,,,,14:35:00,14:35:55,14:37:00,14:51:00,14:44:00,,14:47:00,14:32:00,14:37:22,14:38:43,14:40:17,14:41:00,14:39:26,,,,
113100315236763001,15:56:11,15:58:00,,,,16:00:00,15:38:39,,15:54:20,,15:34:00,15:34:31,,,,,,,,15:49:07,,,,15:35:00,15:35:55,15:37:00,15:52:00,15:45:00,,15:48:00,15:32:00,15:37:27,15:39:08,15:41:06,15:42:00,15:40:02,,,,
113100316236763001,16:23:11,16:25:00,,,,16:27:00,16:05:39,,16:21:20,,16:01:00,16:01:31,,,,,,,,16:16:07,,,,16:02:00,16:02:55,16:04:00,16:19:00,16:12:00,,16:15:00,15:59:00,16:04:27,16:06:08,16:08:06,16:09:00,16:07:02,,,,
113100317236763001,,,16:06:49,16:05:00,16:04:00,,,16:23:37,,16:09:08,,,16:27:30,16:28:00,16:11:00,16:18:00,16:25:00,16:26:05,16:27:00,,16:14:10,16:22:35,16:29:53,,,,,,16:15:00,,16:31:00,,,,,,16:21:00,16:21:40,16:23:13,16:24:38
113100318236763001,14:15:29,14:17:00,,,,14:19:00,14:00:19,,14:13:56,,13:56:00,13:56:31,,,,,,,,14:09:50,,,,13:57:00,13:57:55,13:59:00,14:12:00,14:06:00,,14:09:00,13:54:00,13:59:22,14:00:43,14:02:17,14:03:00,14:01:26,,,,
113100319236763001,,,15:04:31,15:03:00,15:02:00,,,15:19:37,,15:06:27,,,15:23:30,15:24:00,15:08:00,15:14:00,15:21:00,15:22:05,15:23:00,,15:10:23,15:18:35,15:25:53,,,,,,15:11:00,,15:27:00,,,,,,15:17:00,15:17:40,15:19:13,15:20:38
113100320236763001,,,06:19:13,06:18:00,06:17:00,,,06:33:17,,06:20:45,,,06:37:30,06:38:00,06:22:00,06:27:00,06:35:00,06:36:05,06:37:00,,06:24:23,06:31:59,06:39:53,,,,,,06:25:00,,06:41:00,,,,,,06:30:00,06:30:50,06:32:46,06:34:33
113100321236763001,,,13:05:13,13:04:00,13:03:00,,,13:19:37,,13:06:45,,,13:23:30,13:24:00,13:08:00,13:14:00,13:21:00,13:22:05,13:23:00,,13:10:23,13:18:35,13:25:53,,,,,,13:11:00,,13:27:00,,,,,,13:17:00,13:17:40,13:19:13,13:20:38
113100322236763001,11:55:29,11:57:00,,,,11:59:00,11:39:39,,11:53:56,,11:35:00,11:35:31,,,,,,,,11:49:50,,,,11:36:00,11:36:55,11:38:00,11:52:00,11:46:00,,11:49:00,11:33:00,11:38:27,11:40:08,11:42:06,11:43:00,11:41:02,,,,
113100323236763001,,,12:05:13,12:04:00,12:03:00,,,12:19:37,,12:06:45,,,12:23:30,12:24:00,12:08:00,12:14:00,12:21:00,12:22:05,12:23:00,,12:10:23,12:18:35,12:25:53,,,,,,12:11:00,,12:27:00,,,,,,12:17:00,12:17:40,12:19:13,12:20:38
113100324236763001,13:15:29,13:17:00,,,,13:19:00,12:59:39,,13:13:56,,12:55:00,12:55:31,,,,,,,,13:09:50,,,,12:56:00,12:56:55,12:58:00,13:12:00,13:06:00,,13:09:00,12:53:00,12:58:27,13:00:08,13:02:06,13:03:00,13:01:02,,,,
113100325236763001,,,11:45:13,11:44:00,11:43:00,,,11:59:37,,11:46:45,,,12:03:30,12:04:00,11:48:00,11:54:00,12:01:00,12:02:05,12:03:00,,11:50:23,11:58:35,12:05:53,,,,,,11:51:00,,12:07:00,,,,,,11:57:00,11:57:40,11:59:13,12:00:38
