trip_id,2241G,2242F,2246F,2793F,3308F,3317,3321,3330F,3334F,3334G,3335F,3337F,3338F,3360F,5039,5040,5041F,5042,5274F,5275F,5277F,5278F,5279F,5308F,5354H,5874F,6204,6258
113481526238202001,16:02:00,,,,,,,,,,,,,,,,,15:53:00,15:57:00,15:55:19,,,,16:00:00,,15:54:18,,
113481529238202001,15:18:00,,,,,,,,,,,,,,,,,15:09:00,15:13:00,15:11:19,,,,15:16:00,,15:10:18,,
113481536238202001,,19:09:00,,,,,,,,,,,,19:05:00,,19:18:00,,,,,19:16:32,19:14:51,19:13:00,,19:11:00,,19:07:12,
113481545238202001,,21:25:00,,,,,,,,,,,,21:22:00,,21:33:00,,,,,21:31:32,21:29:51,21:28:00,,21:26:00,,21:23:39,
113482210238203501,,,,,,,,,,,,,,,,25:01:00,,,,,24:59:32,24:57:51,24:56:00,,24:54:00,,,
113482212238203501,,,,,,,,,,,,,,,,22:55:00,,,,,22:53:32,22:51:51,22:50:00,,22:48:00,,,
113482248238203501,,,08:55:00,,,,,,,,,,,,,,,08:48:00,08:51:00,08:49:45,,,,08:53:00,,08:48:58,,
113482249238203501,,,09:26:00,,,,,,,,,,,,,,,09:19:00,09:22:00,09:20:45,,,,09:24:00,,09:19:58,,
113482871238205601,,,,,,,,,,,,,,,,25:01:00,,,,,24:59:32,24:57:51,24:56:00,,24:54:00,,,
113482923238205601,,,08:36:00,,,,,,,,,,,,,,,08:29:00,08:32:00,08:30:45,,,,08:34:00,,08:29:58,,
113562835238547602,,07:17:00,,,,,07:26:33,,07:29:00,,,07:28:19,,07:14:00,07:25:00,,,,,,07:23:18,07:21:43,07:20:00,,07:18:00,,07:15:39,
113562836238547602,,05:30:00,,,,,05:39:33,,05:42:00,,,05:41:19,,05:27:00,05:38:00,,,,,,05:36:18,05:34:43,05:33:00,,05:31:00,,05:28:39,
113562837238547602,07:40:00,,,,07:43:00,07:31:07,,07:28:52,,,07:28:00,,,,,,,07:33:00,07:36:00,07:34:45,,,,07:38:00,,07:33:58,,07:41:14
113562838238547602,07:10:00,,,,07:13:00,07:01:07,,06:58:52,,,06:58:00,,,,,,,07:03:00,07:06:00,07:04:45,,,,07:08:00,,07:03:58,,07:11:14
113562839238547602,05:45:00,,,,05:48:00,05:36:07,,05:33:52,,,05:33:00,,,,,,,05:38:00,05:41:00,05:39:45,,,,05:43:00,,05:38:58,,05:46:14
113562840238547602,05:23:00,,,,05:26:00,,,,,,,,,,,,,05:16:00,05:19:00,05:17:45,,,,05:21:00,,05:16:58,,05:24:14
113562841238547602,08:10:00,,,,08:13:00,08:01:07,,07:58:52,,,07:58:00,,,,,,,08:03:00,08:06:00,08:04:45,,,,08:08:00,,08:03:58,,08:11:14
113562842238547602,,07:47:00,,,,,07:56:33,,07:59:00,,,07:58:19,,07:44:00,07:55:00,,,,,,07:53:18,07:51:43,07:50:00,,07:48:00,,07:45:39,
113562843238547602,06:39:00,,,,06:42:00,06:30:07,,06:27:52,,,06:27:00,,,,,,,06:32:00,06:35:00,06:33:45,,,,06:37:00,,06:32:58,,06:40:14
113562844238547602,06:12:00,,,,06:15:00,06:03:07,,06:00:52,,,06:00:00,,,,,,,06:05:00,06:08:00,06:06:45,,,,06:10:00,,06:05:58,,06:13:14
113562845238547602,,06:46:00,,,,,06:55:33,,06:58:00,,,06:57:19,,06:43:00,06:54:00,,,,,,06:52:18,06:50:43,06:49:00,,06:47:00,,06:44:39,
113562846238547602,,05:52:00,,,,,06:01:33,,06:04:00,,,06:03:19,,05:49:00,06:00:00,,,,,,05:58:18,05:56:43,05:55:00,,05:53:00,,05:50:39,
113562847238547602,,06:19:00,,,,,06:28:33,,06:31:00,,,06:30:19,,06:16:00,06:27:00,,,,,,06:25:18,06:23:43,06:22:00,,06:20:00,,06:17:39,
