trip_id,1453,1455,1472,4287,4288,4289,4290,4292,4293,4294,4295,4296,4297,4298,4299,4310,4311,4313,4314,4315,4318,4319,4340,4341,4342,4344,4345,4347,4348,4349,4351,4355,4357,4358,9059
113306210237420000,,07:26:57,,07:19:58,,,,07:20:42,07:30:59,07:31:41,07:33:01,07:34:15,07:36:00,,,,,,,,,,,07:21:59,,,,,07:24:35,,07:23:00,07:26:00,07:28:03,07:30:00,07:19:00
113306211237420000,,07:38:57,,07:31:58,,,,07:32:42,07:42:59,07:43:41,07:45:01,07:46:15,07:48:00,,,,,,,,,,,07:33:59,,,,,07:36:35,,07:35:00,07:38:00,07:40:03,07:42:00,07:31:00
113306212237420000,,07:51:57,,07:44:58,,,,07:45:42,07:55:59,07:56:41,07:58:01,07:59:15,08:01:00,,,,,,,,,,,07:46:59,,,,,07:49:35,,07:48:00,07:51:00,07:53:03,07:55:00,07:44:00
113306213237420000,,08:03:57,,07:55:26,,,,07:56:33,08:08:08,08:08:58,08:10:31,08:11:57,08:14:00,,,,,,,,,,,07:58:28,,,,,08:01:35,,08:00:00,08:03:00,08:05:03,08:07:00,07:54:00
113306214237420000,,08:16:57,,08:07:41,,,,08:08:59,08:21:08,08:21:58,08:23:31,08:24:57,08:27:00,,,,,,,,,,,08:11:13,,,,,08:14:35,,08:13:00,08:16:00,08:18:03,08:20:00,08:06:00
113306215237420000,,08:28:57,,08:19:41,,,,08:20:59,08:33:08,08:33:58,08:35:31,08:36:57,08:39:00,,,,,,,,,,,08:23:13,,,,,08:26:35,,08:25:00,08:28:00,08:30:03,08:32:00,08:18:00
113306216237420000,,08:41:57,,08:32:41,,,,08:33:59,08:46:08,08:46:58,08:48:31,08:49:57,08:52:00,,,,,,,,,,,08:36:13,,,,,08:39:35,,08:38:00,08:41:00,08:43:03,08:45:00,08:31:00
113306217237420000,,08:54:57,,08:45:41,,,,08:46:59,08:59:08,08:59:58,09:01:31,09:02:57,09:05:00,,,,,,,,,,,08:49:13,,,,,08:52:35,,08:51:00,08:54:00,08:56:03,08:58:00,08:44:00
113306218237420000,,09:07:57,,08:58:41,,,,08:59:59,09:11:59,09:12:41,09:14:01,09:15:15,09:17:00,,,,,,,,,,,09:02:13,,,,,09:05:35,,09:04:00,09:07:00,09:09:03,09:11:00,08:57:00
113306219237420000,,09:19:57,,09:11:26,,,,09:12:33,09:23:59,09:24:41,09:26:01,09:27:15,09:29:00,,,,,,,,,,,09:14:28,,,,,09:17:35,,09:16:00,09:19:00,09:21:03,09:23:00,09:10:00
113306220237420000,,09:31:57,,09:24:12,,,,09:25:08,09:35:59,09:36:41,09:38:01,09:39:15,09:41:00,,,,,,,,,,,09:26:44,,,,,09:29:35,,09:28:00,09:31:00,09:33:03,09:35:00,09:23:00
