trip_id,1662,1664,2127,2141,2218,2225,2252,2254,2259,2260,2683,2684,2685,3055,3056,3057,3066,3608B,3609,3612,3613,6483B,6484B,6792,6799,6808B,6811B,6856B,6860B,7568
113714103239009501,16:00:00,,,15:52:00,,15:48:12,,,15:55:14,15:57:00,15:39:00,,15:44:00,15:52:48,15:54:31,,,,,15:39:17,15:40:05,,15:46:00,,15:41:00,,,15:42:23,15:58:27,
113714104239009501,16:10:00,,,16:02:00,,15:58:12,,,16:05:14,16:07:00,15:49:00,,15:54:00,16:02:48,16:04:31,,,,,15:49:17,15:50:05,,15:56:00,,15:51:00,,,15:52:23,16:08:27,
113714105239009501,16:20:00,,,16:12:00,,16:08:12,,,16:15:14,16:17:00,15:59:00,,16:04:00,16:12:48,16:14:31,,,,,15:59:17,16:00:05,,16:06:00,,16:01:00,,,16:02:23,16:18:27,
113714106239009501,16:30:00,,,16:22:00,,16:18:12,,,16:25:14,16:27:00,16:09:00,,16:14:00,16:22:48,16:24:31,,,,,16:09:17,16:10:05,,16:16:00,,16:11:00,,,16:12:23,16:28:27,
113714107239009501,16:40:00,,,16:32:00,,16:28:12,,,16:35:14,16:37:00,16:19:00,,16:24:00,16:32:48,16:34:31,,,,,16:19:17,16:20:05,,16:26:00,,16:21:00,,,16:22:23,16:38:27,
113714108239009501,16:50:00,,,16:42:00,,16:38:12,,,16:45:14,16:47:00,16:29:00,,16:34:00,16:42:48,16:44:31,,,,,16:29:17,16:30:05,,16:36:00,,16:31:00,,,16:32:23,16:48:27,
113714109239009501,17:01:00,,,16:53:00,,16:49:12,,,16:56:14,16:58:00,16:40:00,,16:45:00,16:53:48,16:55:31,,,,,16:40:17,16:41:05,,16:47:00,,16:42:00,,,16:43:23,16:59:27,
113714110239009501,17:11:00,,,17:03:00,,16:59:12,,,17:06:14,17:08:00,16:50:00,,16:55:00,17:03:48,17:05:31,,,,,16:50:17,16:51:05,,16:57:00,,16:52:00,,,16:53:23,17:09:27,
113714111239009501,17:21:00,,,17:13:00,,17:09:12,,,17:16:14,17:18:00,17:00:00,,17:05:00,17:13:48,17:15:31,,,,,17:00:17,17:01:05,,17:07:00,,17:02:00,,,17:03:23,17:19:27,
113714112239009501,17:31:00,,,17:23:00,,17:19:12,,,17:26:14,17:28:00,17:10:00,,17:15:00,17:23:48,17:25:31,,,,,17:10:17,17:11:05,,17:17:00,,17:12:00,,,17:13:23,17:29:27,
113714113239009501,17:41:00,,,17:33:00,,17:29:12,,,17:36:14,17:38:00,17:20:00,,17:25:00,17:33:48,17:35:31,,,,,17:20:17,17:21:05,,17:27:00,,17:22:00,,,17:23:23,17:39:27,
113714114239009501,17:51:00,,,17:43:00,,17:39:12,,,17:46:14,17:48:00,17:30:00,,17:35:00,17:43:48,17:45:31,,,,,17:30:17,17:31:05,,17:37:00,,17:32:00,,,17:33:23,17:49:27,
113714115239009501,18:01:00,,,17:53:00,,17:49:12,,,17:56:14,17:58:00,17:40:00,,17:45:00,17:53:48,17:55:31,,,,,17:40:17,17:41:05,,17:47:00,,17:42:00,,,17:43:23,17:59:27,
113714116239009501,18:11:00,,,18:03:00,,17:59:12,,,18:06:14,18:08:00,17:50:00,,17:55:00,18:03:48,18:05:31,,,,,17:50:17,17:51:05,,17:57:00,,17:52:00,,,17:53:23,18:09:27,
